Method,Representative_Gene,P_Value,Is_Ground_Truth,Cluster_Size,Cluster_ID,All_Genes_In_Cluster
CRT-logit,snoU13,7.834653561844458e-10,False,1,206,snoU13
CRT-logit,RN7SL686P,8.017941860498058e-10,False,1,175,RN7SL686P
CRT-logit,LANCL2,1.7436101706084495e-09,False,2,426,LANCL2;VOPP1
CRT-logit,LINC00469,1.7713606912705866e-09,False,42,408,LINC00469;RPL38;TTYH2;DNAI2;KIF19;BTBD17;GPR142;RNA5SP448;GPRC5C;CD300A;CD300LB;CD300C;CD300LD;C17orf77;CD300E;RAB37;CD300LF;MIR3615;SLC9A3R1;NAT9;TMEM104;GRIN2C;FDXR;FADS6;USH1G;OTOP2;OTOP3;HID1;CDR2L;ICT1;KCTD2;ATP5H;RN7SL573P;SLC16A5;ARMC7;NT5C;HN1;SUMO2;NUP85;GGA3;MRPS7;MIF4GD
CRT-logit,SNORA74,2.3081193209864894e-09,False,54,912,SNORA74;SNORA74;SNORA74;SNORA74;SNORA74;ACTR2;SPRED2;RN7SL635P;MIR4778;MEIS1;ETAA1;C1D;WDR92;PNO1;PPP3R1;CNRIP1;PLEK;FBXO48;APLF;PROKR1;ARHGAP25;BMP10;GKN2;GKN1;ANTXR1;MIR3126;RNA5SP96;GFPT1;NFU1;AAK1;RN7SL604P;SNORA36C;ANXA4;GMCL1;SNRNP27;MXD1;ASPRV1;RN7SL470P;PCBP1;C2orf42;TIA1;PCYOX1;SNRPG;FAM136A;TGFA;ADD2;FIGLA;CLEC4F;CD207;VAX2;ATP6V1B1;RN7SL160P;TEX261;ANKRD53
CRT-logit,CDH15,2.6636362263506207e-09,True,68,514,EMC8;COX4I1;IRF8;LINC00917;FENDRR;FOXF1;MTHFSD;FOXC2;FOXL1;C16orf95;FBXO31;MAP1LC3B;ZCCHC14;JPH3;KLHDC4;SLC7A5;CA5A;BANP;ZNF469;ZFPM1;MIR5189;ZC3H18;IL17C;CYBA;MVD;SNAI3;RNF166;CTU2;PIEZO1;MIR4722;CDT1;APRT;GALNS;TRAPPC2L;PABPN1L;CBFA2T3;ACSF3;LINC00304;CDH15;SLC22A31;ZNF778;ANKRD11;SPG7;RPL13;SNORD68;CPNE7;DPEP1;CHMP1A;SPATA33;CDK10;SPATA2L;VPS9D1;ZNF276;FANCA;SPIRE2;TCF25;MC1R;TUBB3;DEF8;CENPBD1;AFG3L1P;DBNDD1;GAS8;C16orf3;URAHP;PRDM7;TUBB8P7;FAM157C
CRT-logit,SHROOM3,3.5833878475674596e-09,True,28,319,SHROOM3;MIR4450;MIR548AH;SOWAHB;SEPT11;CCNI;CCNG2;CXCL13;CNOT6L;MRPL1;FRAS1;ANXA3;BMP2K;PAQR3;RN7SL127P;NAA11;GK2;LINC00989;OR7E94P;PCAT4;ANTXR2;PRDM8;FGF5;C4orf22;BMP3;PRKG2;RASGEF1B;HNRNPD
CRT-logit,CYP4B1,5.547494647498812e-09,True,62,573,SNORD38A;SNORD38B;BEST4;PLK3;TCTEX1D4;BTBD19;PTCH2;EIF2B3;RNA5SP47;HECTD3;UROD;ZSWIM5;HPDL;MUTYH;TOE1;TESK2;CCDC163P;MMACHC;PRDX1;AKR1A1;NASP;CCDC17;GPBP1L1;TMEM69;IPP;MAST2;PIK3R3;TSPAN1;POMGNT1;LURAP1;RAD54L;LRRC41;UQCRH;NSUN4;FAAH;DMBX1;KNCN;MKNK1;MOB3C;ATPAF1;TEX38;EFCAB14;CYP4B1;CYP4Z2P;CYP4A11;CYP4X1;CYP4Z1;CYP4A22;LINC00853;PDZK1IP1;TAL1;STIL;CMPK1;FOXE3;FOXD2;TRABD2B;SLC5A9;SPATA6;AGBL4;BEND5;ELAVL4;DMRTA2
CRT-logit,C11orf83,7.684967902594376e-09,False,16,305,C11orf83;UBXN1;LRRN4CL;BSCL2;GNG3;HNRNPUL2;TTC9C;ZBTB3;POLR2G;TAF6L;TMEM223;TMEM179B;NXF1;STX5;WDR74;SNHG1
CRT-logit,NAA38,8.170186590479506e-09,False,1,99,NAA38
